temperature_fahrenheit  active_dry_yeast_percentage    instant_dry_yeast_percentage   cake_yeast_percentage  fermentation_hours
35  0.126   0.096   0.30    167
35  0.168   0.128   0.40    136
35  0.21    0.16    0.50    115
35  0.252   0.192   0.60    101
35  0.294   0.224   0.70    90
35  0.336   0.256   0.80    82
35  0.42    0.32    1.00    70
35  0.504   0.384   1.20    61
35  0.588   0.448   1.40    54
35  0.672   0.512   1.60    49
35  0.756   0.576   1.80    45
35  0.84    0.64    2.00    42
35  0.924   0.704   2.20    39
35  1.008   0.768   2.40    37
35  1.092   0.832   2.60    35
35  1.176   0.896   2.80    33
35  1.26    0.96    3.00    31
43	1.26    0.96    3.00	14
44	0.042   0.032   0.10	147
44	0.053   0.04    0.125	125
44	0.063   0.048   0.15	109
44	0.074   0.056   0.175	98
44	0.084   0.064   0.20	88
44	0.126   0.096   0.30	66
44	0.168   0.128   0.40	53
44	0.21    0.16    0.50	45
44	0.252   0.192   0.60	40
44	0.294   0.224   0.70	36
44	0.336   0.256   0.80	32
44	0.42    0.32    1.00	27
44	0.504   0.384   1.20	24
44	0.588   0.448   1.40	21
44	0.672   0.512   1.60	19
44	0.756   0.576   1.80	18
44	0.84    0.64    2.00	17
44	0.924   0.704   2.20	15
44	1.008   0.768   2.40	14
44	1.092   0.832   2.60	14
44	1.176   0.896   2.80	13
44	1.26    0.96    3.00	12
45	0.032   0.024   0.075	165
45	0.042   0.032   0.10	134
45	0.053   0.04    0.125	114
45	0.063   0.048   0.15	100
45	0.074   0.056   0.175	89
45	0.084   0.064   0.20	81
45	0.126   0.096   0.30	60
45	0.168   0.128   0.40	49
45	0.21    0.16    0.50	41
45	0.252   0.192   0.60	36
45	0.294   0.224   0.70	32
45	0.336   0.256   0.80	29
45	0.42    0.32    1.00	25
45	0.504   0.384   1.20	22
45	0.588   0.448   1.40	20
45	0.672   0.512   1.60	18
45	0.756   0.576   1.80	16
45	0.84    0.64    2.00	15
45	0.924   0.704   2.20	14
45	1.008   0.768   2.40	13
45	1.092   0.832   2.60	12
45	1.176   0.896   2.80	12
45	1.26    0.96    3.00	11
46	0.032   0.024   0.075	151
46	0.042   0.032   0.10	122
46	0.053   0.04    0.125	104
46	0.063   0.048   0.15	91
46	0.074   0.056   0.175	81
46	0.084   0.064   0.20	74
46	0.126   0.096   0.30	55
46	0.168   0.128   0.40	45
46	0.21    0.16    0.50	38
46	0.252   0.192   0.60	33
46	0.294   0.224   0.70	30
46	0.336   0.256   0.80	27
46	0.42    0.32    1.00	23
46	0.504   0.384   1.20	20
46	0.588   0.448   1.40	18
46	0.672   0.512   1.60	16
46	0.756   0.576   1.80	15
46	0.84    0.64    2.00	14
46	0.924   0.704   2.20	13
46	1.008   0.768   2.40	12
46	1.092   0.832   2.60	11
46	1.176   0.896   2.80	11
46	1.26    0.96    3.00	10
47	0.032   0.024   0.075	138
47	0.042   0.032   0.10	112
47	0.053   0.04    0.125	95
47	0.063   0.048   0.15	83
47	0.074   0.056   0.175	74
47	0.084   0.064   0.20	67
47	0.126   0.096   0.30	50
47	0.168   0.128   0.40	41
47	0.21    0.16    0.50	35
47	0.252   0.192   0.60	30
47	0.294   0.224   0.70	27
47	0.336   0.256   0.80	25
47	0.42    0.32    1.00	21
47	0.504   0.384   1.20	18
47	0.588   0.448   1.40	16
47	0.672   0.512   1.60	15
47	0.756   0.576   1.80	14
47	0.84    0.64    2.00	13
47	0.924   0.704   2.20	12
47	1.008   0.768   2.40	11
47	1.092   0.832   2.60	10
47	1.176   0.896   2.80	10
47	1.26    0.96    3.00	9
48	0.032   0.024   0.075	126
48	0.042   0.032   0.10	102
48	0.053   0.04    0.125	87
48	0.063   0.048   0.15	76
48	0.074   0.056   0.175	68
48	0.084   0.064   0.20	62
48	0.126   0.096   0.30	46
48	0.168   0.128   0.40	37
48	0.21    0.16    0.50	32
48	0.252   0.192   0.60	28
48	0.294   0.224   0.70	25
48	0.336   0.256   0.80	23
48	0.42    0.32    1.00	19
48	0.504   0.384   1.20	17
48	0.588   0.448   1.40	15
48	0.672   0.512   1.60	14
48	0.756   0.576   1.80	12
48	0.84    0.64    2.00	12
48	0.924   0.704   2.20	11
48	1.008   0.768   2.40	10
48	1.092   0.832   2.60	10
48	1.176   0.896   2.80	9
48	1.26    0.96    3.00	9
49	0.021   0.016   0.05	156
49	0.032   0.024   0.075	116
49	0.042   0.032   0.10	94
49	0.053   0.04    0.125	80
49	0.063   0.048   0.15	70
49	0.074   0.056   0.175	63
49	0.084   0.064   0.20	57
49	0.126   0.096   0.30	42
49	0.168   0.128   0.40	34
49	0.21    0.16    0.50	29
49	0.252   0.192   0.60	26
49	0.294   0.224   0.70	23
49	0.336   0.256   0.80	21
49	0.42    0.32    1.00	18
49	0.504   0.384   1.20	15
49	0.588   0.448   1.40	14
49	0.672   0.512   1.60	12
49	0.756   0.576   1.80	11
49	0.84    0.64    2.00	11
49	0.924   0.704   2.20	10
49	1.008   0.768   2.40	9
49	1.092   0.832   2.60	9
49	1.176   0.896   2.80	8
49	1.26    0.96    3.00	8
50	0.021   0.016   0.05	143
50	0.032   0.024   0.075	107
50	0.042   0.032   0.10	86
50	0.053   0.04    0.125	74
50	0.063   0.048   0.15	64
50	0.074   0.056   0.175	58
50	0.084   0.064   0.20	52
50	0.126   0.096   0.30	39
50	0.168   0.128   0.40	32
50	0.21    0.16    0.50	27
50	0.252   0.192   0.60	23
50	0.294   0.224   0.70	21
50	0.336   0.256   0.80	19
50	0.42    0.32    1.00	16
50	0.504   0.384   1.20	14
50	0.588   0.448   1.40	13
50	0.672   0.512   1.60	11
50	0.756   0.576   1.80	11
50	0.84    0.64    2.00	10
50	0.924   0.704   2.20	9
50	1.008   0.768   2.40	9
50	1.092   0.832   2.60	8
50	1.176   0.896   2.80	8
50	1.26    0.96    3.00	7
51	0.021   0.016   0.05	132
51	0.032   0.024   0.075	98
51	0.042   0.032   0.10	80
51	0.053   0.04    0.125	68
51	0.063   0.048   0.15	59
51	0.074   0.056   0.175	53
51	0.084   0.064   0.20	48
51	0.126   0.096   0.30	36
51	0.168   0.128   0.40	29
51	0.21    0.16    0.50	25
51	0.252   0.192   0.60	22
51	0.294   0.224   0.70	19
51	0.336   0.256   0.80	18
51	0.42    0.32    1.00	15
51	0.504   0.384   1.20	13
51	0.588   0.448   1.40	12
51	0.672   0.512   1.60	11
51	0.756   0.576   1.80	10
51	0.84    0.64    2.00	9
51	0.924   0.704   2.20	8
51	1.008   0.768   2.40	8
51	1.092   0.832   2.60	7
51	1.176   0.896   2.80	7
51	1.26    0.96    3.00	7
52	0.021   0.016   0.05	122
52	0.032   0.024   0.075	90
52	0.042   0.032   0.10	73
52	0.053   0.04    0.125	62
52	0.063   0.048   0.15	55
52	0.074   0.056   0.175	49
52	0.084   0.064   0.20	44
52	0.126   0.096   0.30	33
52	0.168   0.128   0.40	27
52	0.21    0.16    0.50	23
52	0.252   0.192   0.60	20
52	0.294   0.224   0.70	18
52	0.336   0.256   0.80	16
52	0.42    0.32    1.00	14
52	0.504   0.384   1.20	12
52	0.588   0.448   1.40	11
52	0.672   0.512   1.60	10
52	0.756   0.576   1.80	9
52	0.84    0.64    2.00	8
52	0.924   0.704   2.20	8
52	1.008   0.768   2.40	7
52	1.092   0.832   2.60	7
52	1.176   0.896   2.80	6
52	1.26    0.96    3.00	6
53	0.013   0.01    0.03	163
53	0.021   0.016   0.05	112
53	0.032   0.024   0.075	84
53	0.042   0.032   0.10	68
53	0.053   0.04    0.125	58
53	0.063   0.048   0.15	50
53	0.074   0.056   0.175	45
53	0.084   0.064   0.20	41
53	0.126   0.096   0.30	30
53	0.168   0.128   0.40	25
53	0.21    0.16    0.50	21
53	0.252   0.192   0.60	18
53	0.294   0.224   0.70	16
53	0.336   0.256   0.80	15
53	0.42    0.32    1.00	13
53	0.504   0.384   1.20	11
53	0.588   0.448   1.40	10
53	0.672   0.512   1.60	9
53	0.756   0.576   1.80	8
53	0.84    0.64    2.00	8
53	0.924   0.704   2.20	7
53	1.008   0.768   2.40	7
53	1.092   0.832   2.60	6
53	1.176   0.896   2.80	6
53	1.26    0.96    3.00	6
54	0.013   0.01    0.03	150
54	0.021   0.016   0.05	104
54	0.032   0.024   0.075	77
54	0.042   0.032   0.10	63
54	0.053   0.04    0.125	53
54	0.063   0.048   0.15	47
54	0.074   0.056   0.175	42
54	0.084   0.064   0.20	38
54	0.126   0.096   0.30	28
54	0.168   0.128   0.40	23
54	0.21    0.16    0.50	19
54	0.252   0.192   0.60	17
54	0.294   0.224   0.70	15
54	0.336   0.256   0.80	14
54	0.42    0.32    1.00	12
54	0.504   0.384   1.20	10
54	0.588   0.448   1.40	9
54	0.672   0.512   1.60	8
54	0.756   0.576   1.80	8
54	0.84    0.64    2.00	7
54	0.924   0.704   2.20	7
54	1.008   0.768   2.40	6
54	1.092   0.832   2.60	6
54	1.176   0.896   2.80	6
54	1.26    0.96    3.00	5
55	0.013   0.01    0.03	139
55	0.021   0.016   0.05	96
55	0.032   0.024   0.075	71
55	0.042   0.032   0.10	58
55	0.053   0.04    0.125	49
55	0.063   0.048   0.15	43
55	0.074   0.056   0.175	39
55	0.084   0.064   0.20	35
55	0.126   0.096   0.30	26
55	0.168   0.128   0.40	21
55	0.21    0.16    0.50	18
55	0.252   0.192   0.60	16
55	0.294   0.224   0.70	14
55	0.336   0.256   0.80	13
55	0.42    0.32    1.00	11
55	0.504   0.384   1.20	9
55	0.588   0.448   1.40	8
55	0.672   0.512   1.60	8
55	0.756   0.576   1.80	7
55	0.84    0.64    2.00	7
55	0.924   0.704   2.20	6
55	1.008   0.768   2.40	6
55	1.092   0.832   2.60	5
55	1.176   0.896   2.80	5
55	1.26    0.96    3.00	5
56	0.013   0.01    0.03	129
56	0.021   0.016   0.05	89
56	0.032   0.024   0.075	66
56	0.042   0.032   0.10	54
56	0.053   0.04    0.125	46
56	0.063   0.048   0.15	40
56	0.074   0.056   0.175	36
56	0.084   0.064   0.20	32
56	0.126   0.096   0.30	24
56	0.168   0.128   0.40	20
56	0.21    0.16    0.50	17
56	0.252   0.192   0.60	15
56	0.294   0.224   0.70	13
56	0.336   0.256   0.80	12
56	0.42    0.32    1.00	10
56	0.504   0.384   1.20	9
56	0.588   0.448   1.40	8
56	0.672   0.512   1.60	7
56	0.756   0.576   1.80	7
56	0.84    0.64    2.00	6
56	0.924   0.704   2.20	6
56	1.008   0.768   2.40	5
56	1.092   0.832   2.60	5
56	1.176   0.896   2.80	5
56	1.26    0.96    3.00	5
57	0.008   0.006   0.02	161
57	0.013   0.01    0.03	120
57	0.021   0.016   0.05	82
57	0.032   0.024   0.075	61
57	0.042   0.032   0.10	50
57	0.053   0.04    0.125	42
57	0.063   0.048   0.15	37
57	0.074   0.056   0.175	33
57	0.084   0.064   0.20	30
57	0.126   0.096   0.30	22
57	0.168   0.128   0.40	18
57	0.21    0.16    0.50	15
57	0.252   0.192   0.60	14
57	0.294   0.224   0.70	12
57	0.336   0.256   0.80	11
57	0.42    0.32    1.00	9
57	0.504   0.384   1.20	8
57	0.588   0.448   1.40	7
57	0.672   0.512   1.60	7
57	0.756   0.576   1.80	6
57	0.84    0.64    2.00	6
57	0.924   0.704   2.20	5
57	1.008   0.768   2.40	5
57	1.092   0.832   2.60	5
57	1.176   0.896   2.80	4
57	1.26    0.96    3.00	4
58	0.008   0.006   0.02	149
58	0.013   0.01    0.03	111
58	0.021   0.016   0.05	77
58	0.032   0.024   0.075	57
58	0.042   0.032   0.10	46
58	0.053   0.04    0.125	39
58	0.063   0.048   0.15	34
58	0.074   0.056   0.175	31
58	0.084   0.064   0.20	28
58	0.126   0.096   0.30	21
58	0.168   0.128   0.40	17
58	0.21    0.16    0.50	14
58	0.252   0.192   0.60	13
58	0.294   0.224   0.70	11
58	0.336   0.256   0.80	10
58	0.42    0.32    1.00	9
58	0.504   0.384   1.20	8
58	0.588   0.448   1.40	7
58	0.672   0.512   1.60	6
58	0.756   0.576   1.80	6
58	0.84    0.64    2.00	5
58	0.924   0.704   2.20	5
58	1.008   0.768   2.40	5
58	1.092   0.832   2.60	4
58	1.176   0.896   2.80	4
58	1.26    0.96    3.00	4
59	0.008   0.006   0.02	139
59	0.013   0.01    0.03	103
59	0.021   0.016   0.05	71
59	0.032   0.024   0.075	53
59	0.042   0.032   0.10	43
59	0.053   0.04    0.125	37
59	0.063   0.048   0.15	32
59	0.074   0.056   0.175	29
59	0.084   0.064   0.20	26
59	0.126   0.096   0.30	19
59	0.168   0.128   0.40	16
59	0.21    0.16    0.50	13
59	0.252   0.192   0.60	12
59	0.294   0.224   0.70	10
59	0.336   0.256   0.80	9
59	0.42    0.32    1.00	8
59	0.504   0.384   1.20	7
59	0.588   0.448   1.40	6
59	0.672   0.512   1.60	6
59	0.756   0.576   1.80	5
59	0.84    0.64    2.00	5
59	0.924   0.704   2.20	5
59	1.008   0.768   2.40	4
59	1.092   0.832   2.60	4
59	1.176   0.896   2.80	4
59	1.26    0.96    3.00	4
60	0.008   0.006   0.02	129
60	0.013   0.01    0.03	96
60	0.021   0.016   0.05	66
60	0.032   0.024   0.075	49
